index,id,avg,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,re,city
9397,31191530051_247238,4,4,4,4,4.0,4,3,4,4,4,4,4,4,4,서울특별시 용산구
22151,34050551181_137751,5,5,3,3,5.0,4,5,4,4,4,3,4,3,5,서울특별시 용산구
19285,3531033044A_225130,5,5,4,4,5.0,5,3,3,3,4,3,4,5,5,서울특별시 용산구
7328,2604056121A_157690,4,4,5,5,4.0,5,5,4,5,5,4,5,5,4,서울특별시 용산구
11926,34340120861_166057,5,4,3,4,5.0,3,3,4,4,3,3,3,4,4,서울특별시 용산구
10141,3203065035A_18133,4,4,4,3,4.0,4,4,5,5,5,4,2,2,4,서울특별시 용산구
9301,3117053033A_248192,4,4,4,4,4.0,4,3,4,4,4,4,4,4,4,서울특별시 용산구
20455,2402070017A_299278,4,4,5,2,4.0,4,5,3,5,4,3,5,5,4,서울특별시 용산구
4765,23310111121_64272,4,3,3,5,4.0,5,4,4,4,4,3,3,4,4,서울특별시 용산구
10460,33030590281_18978,4,4,3,4,4.0,4,4,3,4,3,3,3,3,3,서울특별시 용산구
7282,2604053050A_273473,5,5,5,3,5.0,3,4,5,5,5,3,5,4,5,서울특별시 용산구
2950,21140562021_265584,5,5,3,5,5.0,5,3,5,5,5,3,5,5,4,서울특별시 용산구
19031,34340120861_166057,5,4,3,4,5.0,3,3,4,4,3,3,3,4,4,서울특별시 용산구
5692,2405063098A_269913,5,5,4,4,4.0,5,4,4,5,4,3,4,5,4,서울특별시 용산구
9346,31180590031_249160,4,5,3,5,4.0,5,4,5,5,4,3,5,5,4,서울특별시 용산구
5331,24040520201_9793,4,3,3,3,5.0,4,4,3,3,3,3,3,3,4,서울특별시 용산구
6565,2504064269A_244613,4,4,3,5,4.0,4,4,5,5,4,5,3,2,5,서울특별시 용산구
20995,33030700381_102822,4,4,3,3,4.0,4,3,3,3,3,3,3,4,4,서울특별시 용산구
18578,33041571181_19204,4,5,3,3,4.0,4,5,4,4,4,4,4,4,4,서울특별시 용산구
15301,38310400121_343985,4,4,5,4,5.0,5,4,5,5,5,4,5,5,4,서울특별시 용산구
11132,34011310091_48523,4,5,3,4,4.0,5,3,4,4,3,3,3,2,4,서울특별시 용산구
21250,3601071041A_253603,5,3,3,3,5.0,4,5,4,4,5,4,4,3,4,서울특별시 용산구
21727,31092700181_276761,4,4,5,4,4.0,3,4,4,4,3,4,4,4,4,서울특별시 용산구
21244,3601051034A_22784,4,4,4,4,4.0,4,4,3,4,3,3,4,3,4,서울특별시 용산구
10129,3203055016A_74584,5,5,3,2,5.0,4,4,4,5,3,3,2,2,5,서울특별시 용산구
4120,23050550141_325779,4,4,4,4,4.0,4,3,3,4,3,3,4,4,4,서울특별시 용산구
4124,23050550771_296155,4,4,4,3,4.0,5,4,4,4,4,3,4,4,4,서울특별시 용산구
4125,23050550771_296157,4,4,3,5,4.0,4,4,4,4,4,3,4,4,4,서울특별시 용산구
9475,3119262158A_127858,4,4,4,3,4.0,4,5,4,4,4,3,5,4,4,서울특별시 용산구
6000,25020550151_39846,4,4,3,2,4.0,4,4,5,5,5,3,3,2,4,서울특별시 용산구
20603,2601062078A_12175,4,4,4,5,4.0,4,4,3,4,4,4,3,4,3,서울특별시 용산구
4167,2305058150A_325237,4,4,4,4,4.0,5,3,4,4,4,3,4,4,4,서울특별시 용산구
3518,22060540101_120130,4,5,3,5,5.0,5,4,5,5,5,3,5,5,4,서울특별시 용산구
20490,25020530621_113181,4,5,3,4,4.0,5,4,4,4,4,3,3,4,4,서울특별시 용산구
4932,24020510021_9373,4,4,5,2,4.0,4,4,3,4,5,3,3,3,4,서울특별시 용산구
4175,2305059093A_296238,5,5,5,4,5.0,5,5,4,5,4,5,4,5,4,서울특별시 용산구
13184,36030570351_50647,4,4,3,4,4.0,4,3,3,4,4,3,3,3,4,서울특별시 용산구
7945,3101157099A_98400,4,5,4,4,4.0,4,3,3,4,4,3,4,3,4,서울특별시 용산구
9914,32010520341_17466,4,3,3,3,4.0,4,3,3,3,3,3,3,3,4,서울특별시 용산구
22031,2503062010A_155373,4,4,4,3,4.0,4,3,4,4,4,3,3,3,4,서울특별시 용산구
17670,2604053050A_273473,5,5,5,3,5.0,3,4,5,5,5,3,5,4,5,서울특별시 용산구
16359,2110055096A_267399,4,4,3,4,4.0,4,5,4,5,3,3,3,3,4,서울특별시 용산구
9432,3119256164A_216931,4,4,4,3,4.0,4,4,4,4,3,4,4,4,4,서울특별시 용산구
8306,3103052080A_44933,4,3,3,3,4.0,5,3,4,4,4,3,2,3,4,서울특별시 용산구
4377,23060670841_65271,4,4,5,4,4.0,4,3,4,4,4,4,4,4,4,서울특별시 성동구
8474,31042561891_248146,4,4,4,4,4.0,4,3,4,4,5,5,4,4,4,서울특별시 성동구
8369,31041521201_14432,4,3,3,4,4.0,4,4,3,4,5,4,5,4,4,서울특별시 성동구
21892,3601051034A_22784,4,4,4,4,4.0,4,4,3,4,3,3,4,3,4,서울특별시 성동구
4351,23060610121_212255,4,4,4,3,4.0,5,4,4,4,4,4,3,4,4,서울특별시 성동구
4301,2306051052A_270624,4,4,4,3,4.0,4,4,4,4,4,3,3,4,4,서울특별시 성동구
8180,31021530631_44570,4,3,3,4,4.0,4,3,3,4,3,3,3,4,4,서울특별시 성동구
9485,3119351046A_160914,4,4,4,3,4.0,4,4,4,3,4,4,4,4,4,서울특별시 성동구
